S/N,Code,Description,Table,Classification,Cleaned_Description
554,SB715W,"WRIST, VARIOUS LESIONS, REVISION TOTAL JOINT ARTHROPLASTY",6C,Descriptor change,wrist various lesion revision total joint arthroplasty
555,SB800Z,"ZYGOMA, DOWN FRACTURE, OSTECTOMY/ARTICULAR EMINECTOMY/AUGMENTATION",5C,Existing,zygoma fracture ostectomyarticular eminectomyaugmentation
556,SB801Z,"ZYGOMA, FRACTURE, ELEVATION",5A,Existing,zygoma fracture elevation
1,SC700A,AUTOFLUORESCENCE/ NARROW BAND IMAGING (NBI) BRONCHOSCOPY,3A,Existing,autofluorescence narrow band imaging nbi bronchoscopy
2,SC700B,"LUNG, BRONCHOSCOPY, INSERTION OF PROSTHESIS6",3B,Descriptor change,lung bronchoscopy insertion prosthesis6
3,SC702B,"BRONCHUS/LUNG, TRANSBRONCHIAL NEEDLE ASPIRATION OF MEDIASTINAL LYMPH NODES, WITH OR WITHOUT ENDOBRONCHIAL ULTRASOUND (EBUS)",3A,Existing,bronchuslung transbronchial needle aspiration mediastinal lymph node without endobronchial ultrasound ebus
4,SC703B,"BRONCHUS/LUNG, BRONCHOSCOPY WITH/WITHOUT BIOPSY",1B,Existing,bronchuslung bronchoscopy withwithout biopsy
5,SC704B,"BRONCHUS/LUNG, BRONCHOSCOPY WITH BIOPSY, BRONCHOALVEOLAR LAVAGE",2A,Existing,bronchuslung bronchoscopy biopsy bronchoalveolar lavage
6,SC705B,"BRONCHUS/LUNG, BRONCHOSCOPY, BLIND TRANSBRONCHIAL LUNG BIOPSY FOR DIFFUSE DISEASE",2A,Existing,bronchuslung bronchoscopy blind transbronchial lung biopsy diffuse disease
7,SC706B,"BRONCHUS/LUNG, BRONCHOSCOPY, TARGETED TRANSBRONCHIAL LUNG BIOPSY FOR FOCAL LESIONS (IMAGING-GUIDED)",2C,Existing,bronchuslung bronchoscopy targeted transbronchial lung biopsy focal lesion imagingguided
8,SC707B,"BRONCHUS/LUNG, BRONCHOSCOPY, WITH DILATATION OF TRACHEAL AND BRONCHIAL STRICTURE",3A,Existing,bronchuslung bronchoscopy dilatation tracheal bronchial stricture
9,SC800B,"BRONCHUS, FOREIGN BODY, REMOVAL VIA BRONCHOTOMY",4A,Existing,bronchus foreign body removal via bronchotomy
10,SC801B,"BRONCHUS, VARIOUS LESIONS, BRONCHOPLASTIC PROCEDURE",5C,Existing,bronchus various lesion bronchoplastic procedure
11,SC802B,"BRONCHUS/TRACHEA, VARIOUS LESIONS, LASER APPLICATION",4A,Existing,bronchustrachea various lesion laser application
12,SC818B,"BRONCHUS, VARIOUS LESIONS, BRONCHIAL THERMOPLASTY/BRONCHUS RADIOFREQUENCY ABLATION",3A,Existing,bronchus various lesion bronchial thermoplastybronchus radiofrequency ablation
13,SC800D,"DIAPHRAGM, TUMOR, EXCISION",5A,Existing,diaphragm tumor excision
14,SC801D,"DIAPHRAGM, TUMOR, EXCISION WITH WEDGE RESECTION OF LUNG",6B,Existing,diaphragm tumor excision wedge resection lung
15,SC802D,"DIAPHRAGM, VARIOUS LESIONS, PLICATION",3C,New,diaphragm various lesion plication
16,SC700L,"LARYNX, LARYNGEAL MASK AIRWAY",MSP,Existing,larynx laryngeal mask airway
17,SC701L,"LUNG, VARIOUS LESIONS, PNEUMONECTOMY/LOBECTOMY/SEGMENTAL RESECTION",5B,Existing,lung various lesion pneumonectomylobectomysegmental resection
18,SC702L,"LUNG, MASSIVE HEMOPTYSIS, BRONCHIAL ARTERY EMBOLISATION",4B,Existing,lung massive hemoptysis bronchial artery embolisation
19,SC703L,"LUNG, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, SIMPLE (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",3C,Existing,lung tumour imaging guided percutaneous local ablation simple radiofrequency cryotherapy microwave laser alcohol etc
20,SC704L,"LUNG, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, COMPLEX (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",4A,Existing,lung tumour imaging guided percutaneous local ablation complex radiofrequency cryotherapy microwave laser alcohol etc
21,SC726L,"LUNG, VARIOUS LESIONS, LUNG RESECTION WITH MEDIASTINAL RESECTION, ANY APPROACH",6C,Existing,lung various lesion lung resection mediastinal resection approach
22,SC801L,"LUNG, VARIOUS LESIONS, REPEAT/MULTIPLE/COMPLEX RESECTIONS",5A,Existing,lung various lesion repeatmultiplecomplex resection
23,SC802L,"LUNG, VARIOUS LESIONS, WEDGE RESECTION",3C,Existing,lung various lesion wedge resection
24,SC800M,"MOUTH, VARIOUS LESIONS, LASER APPLICATION",2B,Existing,mouth various lesion laser application
25,SC702P,"LUNG, PULMONARY ENDARTERECTOMY WITH CARDIOPULMONARY BYPASS",7C,Existing,lung pulmonary endarterectomy cardiopulmonary bypass
26,SC700T,"THORAX, CATHETER BLOCKAGE, IMAGING GUIDED CATHETER CHANGE/CATHETER ADJUSTMENT/CHECK TUBE",1A,Existing,thorax catheter blockage imaging guided catheter changecatheter adjustmentcheck tube
27,SC701T,"THORAX, COASTAL CARTILAGE, HARVEST AND CREATION OF EAR CARTILAGE FRAMEWORK",5A,Existing,thorax coastal cartilage harvest creation ear cartilage framework
28,SC702T,"THORAX, EVACUATION OF RETAINED HAEMOTHORAX",4A,Descriptor change,thorax evacuation retained haemothorax
29,SC703T,"THORAX, MEDIASTINUM, MEDIASTINOSCOPY WITH/WITHOUT BIOPSY",3B,Existing,thorax mediastinum mediastinoscopy withwithout biopsy
30,SC704T,"THORAX, PLEURAL EFFUSION, BIOPSY",1C,Existing,thorax pleural effusion biopsy
31,SC705T,"THORAX, RESUSCITATIVE TRAUMA THORACOTOMY (HAEMOSTASIS, DAMAGE CONTROL, ORGAN REPAIR)",5A,Existing,thorax resuscitative trauma thoracotomy haemostasis damage control organ repair
32,SC706T,"THORAX, RIBS, OPEN FIXATION OF RIB FRACTURES (>3 RIBS)",5A,Existing,thorax rib open fixation rib fracture 3 rib
33,SC707T,"THORAX, RIBS, OPEN FIXATION OF RIB FRACTURES (1 - 3 RIBS)",4A,Existing,thorax rib open fixation rib fracture 1 3 rib
34,SC708T,"THORAX, PERICARDIAL WINDOW CREATION",3C,Existing,thorax pericardial window creation
35,SC709T,"THORAX, MIS DECORTICATION",5B,Existing,thorax mi decortication
36,SC710T,"THORAX, MIS PLEURODESIS BILATERAL",4B,Existing,thorax mi pleurodesis bilateral
37,SC711T,"THORAX, MIS THYMECTOMY",6B,Existing,thorax mi thymectomy
38,SC712T,"THORAX, THORACOSCOPY FOR PLEURODESIS",3C,Existing,thorax thoracoscopy pleurodesis
39,SC713T,"THORAX, TRAUMA RELOOK THORACOTOMY (INCLUDES HAEMOSTASIS, REMOVAL OF PACKS)",4A,Existing,thorax trauma relook thoracotomy includes haemostasis removal pack
40,SC714T,"THORAX, THORACOSCOPY, WITH/WITHOUT DIVISION OF PLEURAL ADHESIONS",2A,Existing,thorax thoracoscopy withwithout division pleural adhesion
41,SC715T,"THORAX, EFFUSION/FLUID/ABSCESS COLLECTION, IMAGING GUIDED PERCUTANEOUS DRAINAGE CATHETER INSERTION",1C,Existing,thorax effusionfluidabscess collection imaging guided percutaneous drainage catheter insertion
42,SC716T,"THORAX, PLEURAL EFFUSION, ASPIRATION",1A,Existing,thorax pleural effusion aspiration
43,SC717T,"THORAX, TUMOR (MEDIASTINAL), COMPLEX RESECTION",6A,Existing,thorax tumor mediastinal complex resection
44,SC718T,"THORAX, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2A,Existing,thorax various lesion imaging guided percutaneous biopsy
45,SC719T,"TRACHEA, ENDOTRACHEAL INTUBATION",MSP,Existing,trachea endotracheal intubation
46,SC720T,"TRACHEA, ENDOTRACHEAL INTUBATION RAPID SEQUENCE INDUCTION",MSP,Existing,trachea endotracheal intubation rapid sequence induction
47,SC721T,"TRACHEA, TRACHEOSTOMY, REPLACEMENT",MSP,Existing,trachea tracheostomy replacement
48,SC722T,"TRACHEA, TRACHEOSTOMY, REVISION AND REINSERTION",3C,Existing,trachea tracheostomy revision reinsertion
49,SC723T,"TRACHEA/BRONCHUS, STRICTURE, IMAGING GUIDED BALLOON DILATATION",2C,Existing,tracheabronchus stricture imaging guided balloon dilatation
50,SC724T,"TRACHEA/BRONCHUS, STRICTURE, IMAGING GUIDED STENT PLACEMENT",3A,Existing,tracheabronchus stricture imaging guided stent placement
51,SC800T,"THORAX, EMPYEMA, RESECTION OF RIB AND OPEN DRAINAGE",2C,Existing,thorax empyema resection rib open drainage
52,SC801T,"THORAX, MEDIASTINAL LESIONS, CERVICAL EXPLORATION WITH/WITHOUT BIOPSY",1A,Existing,thorax mediastinal lesion cervical exploration withwithout biopsy
53,SC802T,"THORAX, PECTUS EXCAVATUM/PECTUS CARINATUM, RADICAL CORRECTION",4B,Existing,thorax pectus excavatumpectus carinatum radical correction
54,SC803T,"THORAX, EFFUSION/FLUID/ABSCESS COLLECTION, IMAGING GUIDED PERCUTANEOUS ASPIRATION/DIAGNOSTIC TAP",1A,Existing,thorax effusionfluidabscess collection imaging guided percutaneous aspirationdiagnostic tap
55,SC804T,"THORAX, TUMOR (MEDIASTINAL), RESECTION",5A,Existing,thorax tumor mediastinal resection
56,SC805T,"THORAX, VARIOUS LESIONS, CHEST WALL RESECTION AND MAJOR RECONSTRUCTION",5B,Existing,thorax various lesion chest wall resection major reconstruction
57,SC806T,"THORAX, VARIOUS LESIONS, CHEST WALL RESECTION AND MINOR RECONSTRUCTION",4A,Existing,thorax various lesion chest wall resection minor reconstruction
58,SC807T,"THORAX, VARIOUS LESIONS, INTERCOSTAL DRAIN (INSERTION WITHOUT RESECTION OF RIB)",1C,Existing,thorax various lesion intercostal drain insertion without resection rib
59,SC808T,"THORAX, VARIOUS LESIONS, INTRATHORACIC OPERATION ON LUNGS/BRONCHIAL TREE/MEDIASTINUM",4A,Existing,thorax various lesion intrathoracic operation lungsbronchial treemediastinum
60,SC809T,"THORAX, VARIOUS LESIONS, THORACOPLASTY (COMPLETE)",4A,Existing,thorax various lesion thoracoplasty complete
61,SC810T,"THORAX, VARIOUS LESIONS, THORACOPLASTY (IN STAGES) - EACH STAGE",4A,Existing,thorax various lesion thoracoplasty stage stage
62,SC811T,"THORAX, VARIOUS LESIONS, THORACOTOMY (EXPLORATION) WITH/WITHOUT BIOPSY",3B,Existing,thorax various lesion thoracotomy exploration withwithout biopsy
63,SC812T,"THORAX, VARIOUS LESIONS, THORACOTOMY FOR PLEURECTOMY/PLEURODESIS/ ENUCLEATION  HYDATID CYSTS",3C,Existing,thorax various lesion thoracotomy pleurectomypleurodesis enucleation hydatid cyst
64,SC813T,"THORAX, VARIOUS LESIONS, THORACOTOMY WITH PULMONARY DECORTICATION, WITH OR WITHOUT THORACOPLASTY AND/OR MYOPLASTY",5A,Existing,thorax various lesion thoracotomy pulmonary decortication without thoracoplasty andor myoplasty
65,SC814T,"TRACHEA, FOREIGN BODY, REMOVAL",1C,Existing,trachea foreign body removal
66,SC815T,"TRACHEA, TRACHEO-ESOPHAGEAL FISTULA, LIGATION AND DIVISION",5C,Existing,trachea tracheoesophageal fistula ligation division
67,SC816T,"TRACHEA, VARIOUS LESIONS, TRACHEA RECONSTRUCTION",5C,Existing,trachea various lesion trachea reconstruction
68,SC817T,"TRACHEA, VARIOUS LESIONS, WITH/WITHOUT IMAGE GUIDED (E.G. BRONCHOSCOPY), CREATION OF TRACHEOSTOMY",2C,Descriptor change,trachea various lesion withwithout image guided eg bronchoscopy creation tracheostomy
69,SC818T,"TRACHEA, VARIOUS LESIONS, TRACHEA RECONSTRUCTION WITH CARDIOPULMONARY BYPASS",7A,New,trachea various lesion trachea reconstruction cardiopulmonary bypass
70,SC819T,"TRACHEA, VARIOUS LESIONS, TRACHEA AND BRONCHUS RECONSTRUCTION WITH CARDIOPULMONARY BYPASS",7B,New,trachea various lesion trachea bronchus reconstruction cardiopulmonary bypass
71,SC820T,"THORAX, VARIOUS LESIONS, CHEST TOILET/ IRRIGATION/ DELAYED CLOSURE",1C,New,thorax various lesion chest toilet irrigation delayed closure
1,SD700A,"AORTA, ANEURYSM, JUXTARENAL TYPE",6B,Existing,aorta aneurysm juxtarenal type
2,SD701A,"AORTA, RUPTURED  AORTIC ANEURYSM (THORACIC OR ABDOMINAL), ENDO-VASCULAR AORTIC REPAIR (EVAR)",6C,Existing,aorta ruptured aortic aneurysm thoracic abdominal endovascular aortic repair evar
3,SD702A,"AORTIC DISSECTION, ENDOVASCULAR FENESTRATION",3B,Existing,aortic dissection endovascular fenestration
4,SD703A,"AORTIC DISSECTION, ENDOVASCULAR STENT GRAFT REPAIR",5C,Existing,aortic dissection endovascular stent graft repair
5,SD704A,ARRHYTHMIA SURGERY MAZE (INCLUDES THE MINI- MAZE PROCEDURE WITH RADIOFREQUENCY CLAM),6B,Existing,arrhythmia surgery maze includes mini maze procedure radiofrequency clam
6,SD705A,"ARTERIOVENOUS FISTULA GRAFT, THROMBECTOMY",3A,Existing,arteriovenous fistula graft thrombectomy
7,SD706A,"ARTERIOVENOUS FISTULA, ANGIOGRAM",2A,Existing,arteriovenous fistula angiogram
8,SD707A,"ARTERIOVENOUS FISTULA, ANGIOPLASTY WITH/WITHOUT STENTING",3A,Existing,arteriovenous fistula angioplasty withwithout stenting
9,SD708A,"ARTERIOVENOUS FISTULA, LIGATION OF SIDE BRANCH",2A,Existing,arteriovenous fistula ligation side branch
10,SD709A,"ARTERIOVENOUS FISTULA, SYNTHETIC GRAFT",5A,Existing,arteriovenous fistula synthetic graft
11,SD710A,"ARTERY,LARGE, INJURY, REPAIR WITH GRAFTING",5A,Existing,arterylarge injury repair grafting
12,SD711A,"ARTERY,SMALL, INJURY, REPAIR (MULTIPLE)",5C,Existing,arterysmall injury repair multiple
13,SD712A,"ARTERY, SMALL, INJURY, REPAIR (SINGLE)",4A,Existing,artery small injury repair single
14,SD713A,"ARTERY, BYPASS, ABOVE/BELOW-KNEE WITH VEIN",5C,Existing,artery bypass abovebelowknee vein
15,SD714A,"ARTERY, BYPASS, DISTAL LEG/PEDAL WITH VEIN",6B,Existing,artery bypass distal legpedal vein
16,SD715A,"ARTERY, BYPASS, VISCERAL, MULTIPLE",7A,Existing,artery bypass visceral multiple
17,SD716A,"ARTERY, BYPASS, VISCERAL, SINGLE",6B,Existing,artery bypass visceral single
18,SD742A,"ARTERY, PERIPHERAL ARTERIAL, DIAGNOSTIC INTRAVASCULAR ULTRASOUND (IVUS)",1A,New,artery peripheral arterial diagnostic intravascular ultrasound ivus
19,SD718A,"ARTERY, PLACEMENT ARTERIAL (PA) LINE INSERTION",MSP,Existing,artery placement arterial pa line insertion
20,SD719A,"ARTERY, STENOSIS/OCCLUSION, PERCUTANEOUS ATHERECTOMY (MECHANICAL OR  LASER)",3B,Existing,artery stenosisocclusion percutaneous atherectomy mechanical laser
21,SD720A,"ARTERY, STENOSIS/OCCLUSION (E.G. PULMONARY, COARCTATION, SUBINTIMAL, BELOW KNEE), PERCUTANEOUS ANGIOPLASTY (PTA), DIFFICULT",4A,Existing,artery stenosisocclusion eg pulmonary coarctation subintimal knee percutaneous angioplasty pta difficult
22,SD721A,"ARTERY, STENOSIS/OCCLUSION, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY (PTA), SIMPLE",3A,Existing,artery stenosisocclusion percutaneous transluminal angioplasty pta simple
23,SD722A,"ARTERY, THROMBOSIS, PERCUTANEOUS CATHETER DIRECTED THROMBOLYSIS, WITH OR WITHOUT ANGIOPLASTY/STENTING",4A,Existing,artery thrombosis percutaneous catheter directed thrombolysis without angioplastystenting
24,SD723A,"ARTERY, TUMOUR, TRANS-ARTERIAL CHEMO- EMBOLIZATION (TACE)",4A,Existing,artery tumour transarterial chemo embolization tace
25,SD724A,"ARTERY, TUMOUR, TRANS-ARTERIAL RADIO NUCLIDE INFUSION",4B,Existing,artery tumour transarterial radio nuclide infusion
26,SD725A,"ARTERY, VARIOUS LESIONS, DIAGNOSTIC ANGIOGRAM OF MULTIPLE VESSELS",3A,Existing,artery various lesion diagnostic angiogram multiple vessel
27,SD726A,"ARTERY, VARIOUS LESIONS, DIAGNOSTIC ANGIOGRAM USING MICROCATHETER, WITH OR WITHOUT INTRAVASCULAR IMAGING",3B,Existing,artery various lesion diagnostic angiogram using microcatheter without intravascular imaging
28,SD727A,"ARTERY, VARIOUS LESIONS, ENDOVASCULAR STENT GRAFT / COVERED STENT PLACEMENT",3B,Existing,artery various lesion endovascular stent graft covered stent placement
29,SD728A,"ARTERY, VARIOUS LESIONS, ENDOVASCULAR STENT PLACEMENT",3B,Existing,artery various lesion endovascular stent placement
30,SD729A,"ARTERY, VARIOUS LESIONS, FLUSH AORTOGRAM OR SINGLE VESSEL DIAGNOSTIC ANGIOGRAM",2C,Existing,artery various lesion flush aortogram single vessel diagnostic angiogram
31,SD730A,"ARTERY, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLISATION OF 1 TO 2 VESSELS",4A,Existing,artery various lesion percutaneous transcatheter embolisation 1 2 vessel
32,SD731A,"ARTERY, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLISATION OF MORE THAN 2 VESSELS",4B,Existing,artery various lesion percutaneous transcatheter embolisation 2 vessel
33,SD732A,"ARTERY-PSEUDOANEURYSM, EXCISION AND LIGATION",4A,Existing,arterypseudoaneurysm excision ligation
34,SD733A,"ARTERY-PSEUDOANEURYSM, EXCISION AND PATCH REPAIR",5A,Existing,arterypseudoaneurysm excision patch repair
35,SD734A,"ARTERY-PSEUDOANEURYSM, THROMBIN INJECTION",2A,Existing,arterypseudoaneurysm thrombin injection
36,SD735A,"ARTERY-VISCERAL, STENOSIS, ANGIOPLASTY OF VISCERAL ARTERY",3A,Existing,arteryvisceral stenosis angioplasty visceral artery
37,SD736A,"ARTERY-VISCERAL, STENOSIS, STENTING",3B,Existing,arteryvisceral stenosis stenting
38,SD737A,TRANSCATHETER VALVE OR CLIP IMPLANTATION WITH/WITHOUT TEE GUIDANCE (ENDOVASCULAR APPROACH),6A,Existing,transcatheter valve clip implantation withwithout tee guidance endovascular approach
39,SD738A,"AORTA, THORACIC AORTIC ANEURYSM, THORACIC ENDOVASCULAR ANEURYSM REPAIR (TEVAR)",6C,Existing,aorta thoracic aortic aneurysm thoracic endovascular aneurysm repair tevar
40,SD739A,"AORTA, THORACOABDOMINAL AORTIC ANEURYSM, ENDOVASCULAR ANEURYSM REPAIR (EVAR)",7A,Existing,aorta thoracoabdominal aortic aneurysm endovascular aneurysm repair evar
41,SD741A,"AORTA, TOTAL ARCH REPLACEMENT",7C,Existing,aorta total arch replacement
42,SD800A,"AORTA, ABDOMINAL AORTIC ANEURYSM, EXCISION AND INSERTION OF GRAFT",6B,Existing,aorta abdominal aortic aneurysm excision insertion graft
43,SD801A,"AORTA, DESCENDING AORTIC ANEURYSM, EXCISION AND INSERTION OF GRAFT",7A,Existing,aorta descending aortic aneurysm excision insertion graft
44,SD802A,"AORTA, RUPTURED ABDOMINAL AORTIC ANEURYSM, EXCISION AND INSERTION OF GRAFT",6B,Existing,aorta ruptured abdominal aortic aneurysm excision insertion graft
45,SD803A,"AORTA, THORACO-ABDOMINAL ANEURYSM, EXCISION AND INSERTION OF GRAFT",7C,Existing,aorta thoracoabdominal aneurysm excision insertion graft
46,SD804A,"AORTA, VARIOUS LESIONS, INSERTION/REMOVAL OF INTRA AORTIC BALLOON",3A,Existing,aorta various lesion insertionremoval intra aortic balloon
47,SD805A,"ARTERY (DISTAL EXTREMITY/DIGIT), VARIOUS LESIONS, MICROVASCULAR REPAIR",6B,Existing,artery distal extremitydigit various lesion microvascular repair
48,SD806A,"ARTERY (EXTREMITY), THROMBOSIS, ENDARTERECTOMY",4C,Existing,artery extremity thrombosis endarterectomy
49,SD807A,"ARTERY (FEMORAL/ILIAC), THROMBOSIS, ENDARTERECTOMY",4C,Existing,artery femoraliliac thrombosis endarterectomy
50,SD808A,"ARTERY (LARGE), VARIOUS LESIONS, LIGATION",3A,Existing,artery large various lesion ligation
51,SD809A,"ARTERY (MAJOR), ANEURYSM, EXCISION AND INSERTION OF GRAFT",5C,Existing,artery major aneurysm excision insertion graft
52,SD810A,"ARTERY (MAJOR), TRAUMA, REPAIR",5C,Existing,artery major trauma repair
53,SD811A,"ARTERY (NECK AND EXTREMITIES), EMBOLISM, EMBOLECTOMY",3A,Existing,artery neck extremity embolism embolectomy
54,SD812A,"ARTERY (OTHERS), THROMBOSIS, ENDARTERECTOMY",4C,Existing,artery others thrombosis endarterectomy
55,SD813A,"ARTERY (TEMPORAL), VARIOUS LESIONS, BIOPSY",2A,Existing,artery temporal various lesion biopsy
56,SD814A,"ARTERY (TRUNK), EMBOLISM, EMBOLECTOMY",4A,Existing,artery trunk embolism embolectomy
57,SD815A,"ARTERY, ARTERIO-VENOUS FISTULA (LARGE), EXCISION",6B,Existing,artery arteriovenous fistula large excision
58,SD816A,"ARTERY, ARTERIO-VENOUS FISTULA (SMALL), EXCISION",4A,Existing,artery arteriovenous fistula small excision
59,SD817A,"ARTERY, ARTERIO-VENOUS FISTULA, DISSECTION AND REPAIR WITH RESTORATION OF CONTINUITY",5A,Existing,artery arteriovenous fistula dissection repair restoration continuity
60,SD818A,"ARTERY, DEFECT, ARTERIAL PATCH GRAFT",4A,Existing,artery defect arterial patch graft
61,SD819A,"ARTERY, TRAUMA/RESECTION, ARTERIAL ANASTOMOSIS",5A,Existing,artery traumaresection arterial anastomosis
62,SD820A,"ARTERY, TRAUMA/RESECTION, MICRO-VASCULAR GRAFT",6B,Existing,artery traumaresection microvascular graft
63,SD821A,"ARTERY, VARIOUS LESIONS, ARTERIO-VENUOUS FISTULA CREATION",3C,Existing,artery various lesion arteriovenuous fistula creation
64,SD822A,"ARTERY, VARIOUS LESIONS, AXILLARY- FEMORAL/SUBCLAVIAN-FEMORAL BY-PASS",5C,Existing,artery various lesion axillary femoralsubclavianfemoral bypass
65,SD823A,"ARTERY, VARIOUS LESIONS, BY-PASS/GRAFT",5C,Existing,artery various lesion bypassgraft
66,SD824A,"ARTERY, VARIOUS LESIONS, INTRA-ARTERIAL INFUSION",3A,Existing,artery various lesion intraarterial infusion
67,SD825A,"ARTERY, VARIOUS LESIONS, INVASIVE BLOOD PRESSURE MEASUREMENT",MSP,Existing,artery various lesion invasive blood pressure measurement
68,SD826A,"ARTERY, VARIOUS LESIONS, LIGATION (INCLUDE REPAIR OF ARTIFICIAL ARTERIO-VENOUS FISTULA)",2A,Existing,artery various lesion ligation include repair artificial arteriovenous fistula
