S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y
184,SF702L,"LIVER TRANSPLANT, RECIPIENT",7C,Existing,liver transplant recipient,-2.255954,7.784386
314,SB800L,"LOWER LIMB, CRUSH INJURIES (EXTENSIVE), DEBRIDEMENT WITH REPAIR OF BONE AND SOFT TISSUES",6B,Existing,lower limb crush injury extensive debridement repair bone soft tissue,2.8455842,10.924124
82,SA718S,"SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MAJOR RELEASE",4B,Existing,soft tissue lower limb various lesion major release,3.3332474,10.397483
60,SL804E,"EYE, GLAUCOMA, GONIOTOMY/TRABECULOTOMY (UNILATERAL)",4A,Existing,eye glaucoma goniotomytrabeculotomy unilateral,7.20694,8.075872
88,SD800B,"BLOOD VESSELS, REACTIONARY/SECONDARY HEMORRHAGE AFTER MINOR OPERATION, HEMOSTASIS",MSP,Existing,blood vessel reactionarysecondary hemorrhage minor operation hemostasis,1.0182585,8.615697
139,SL705O,"ORBIT, VARIOUS LESIONS, EXTENDED LATERAL ORBITOTOMY",6A,Existing,orbit various lesion extended lateral orbitotomy,-1.3130605,13.636417
47,SH836P,"PROSTATE GLAND, VARIOUS LESIONS, TRANSURETHRAL RESECTION (TURP)/ENUCLEATION OF PROSTATE (RESECTED WEIGHT LESS THAN 30G)",4B,Descriptor change,prostate gland various lesion transurethral resection turpenucleation prostate resected weight le 30g,1.8920196,14.664503
151,SA856S,"SKIN, ANGIOMA, CAUTERISATION/INJECTION",1A,Existing,skin angioma cauterisationinjection,0.32283938,11.666429
19,SC703L,"LUNG, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, SIMPLE (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",3C,Existing,lung tumour imaging guided percutaneous local ablation simple radiofrequency cryotherapy microwave laser alcohol etc,-1.7492332,15.854964
130,SB811F,"FEMUR, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION WITH PLATE AND SCREWS",5A,Existing,femur fracture open reduction internal fixation plate screw,1.6834399,5.2393446
7,SA707B,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY, WITH SENTINEL NODE BIOPSY/ AXILIARY NODE SAMPLING",4A,Existing,breast tumor malignant wide excision lumpectomysegmental mastectomy partial mastectomy sentinel node biopsy axiliary node sampling,3.1306474,13.60963
117,SD739H,"HEART, ELECTROPHYSIOLOGY STUDY WITHOUT ABLATION",3B,Existing,heart electrophysiology study without ablation,0.41295895,6.9325323
333,SF704T,"TEETH (2 TO 3), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE AND BONDING FOR TRACTION AND ASSISTED ERUPTION",3C,Existing,teeth 2 3 uneruptedpartially eruptedimpacted surgical exposure bonding traction assisted eruption,-0.51491636,8.949589
14,SJ803T,"THYROID, VARIOUS LESIONS, TOTAL/SUBTOTAL THYROIDECTOMY",5C,Existing,thyroid various lesion totalsubtotal thyroidectomy,-1.1745375,10.250578
83,SD707B,"BLOOD VESSELS, SUBCUTANEOUS IMPLANTED VASCULAR PORT, REMOVAL",1B,Existing,blood vessel subcutaneous implanted vascular port removal,1.0738653,8.648781
269,SB816J,"JOINTS (LOWER LIMB), VARIOUS LESIONS, EPIPHYSIOLYSIS WITH/WITHOUT MICROSURGERY",5C,Existing,joint lower limb various lesion epiphysiolysis withwithout microsurgery,3.5253136,9.792723
182,SA887S,"SKIN, WRINKLES, TOTAL RHYTIDECTOMY5",6B,"Descriptor
change",skin wrinkle total rhytidectomy5,0.25858796,11.518689
165,SA870S,"SKIN, SCAR, REVISION WITH Z-PLASTY",2C,Existing,skin scar revision zplasty,1.0102094,11.934881
252,SB718J,"JOINTS, MAJOR INTRA-ARTICULAR FRACTURE WITH DISCONTINUITY OR BONE LOSS, RECONSTRUCTION (FOR UPPER LIMB)",5A,Existing,joint major intraarticular fracture discontinuity bone loss reconstruction upper limb,3.2595155,10.063022
291,SB706K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS PRIMARY DOUBLE BUNDLE ACL OR PCL RECONSTRUCTION",6A,Existing,knee ligamentsmeniscuscartilagebone combined mi primary double bundle acl pcl reconstruction,2.6816905,7.6572757
7,SG706B,"BLADDER, VARIOUS LESIONS, MIS PARTIAL EXCISION",4A,Existing,bladder various lesion mi partial excision,-1.4086647,8.527423
65,SG723K,"KIDNEY/URETER, ENDOPYELOTOMY (PERCUTANEOUS)",4B,Existing,kidneyureter endopyelotomy percutaneous,-0.9141803,9.03574
34,SF811A,"ABDOMINAL CAVITY, VARIOUS LESIONS, PARACENTESIS",MSP,Existing,abdominal cavity various lesion paracentesis,-3.0118046,6.8807907
32,SK709B,"BRAIN, INTRACRANIAL EXTRACEREBRAL TUMOR, CRANIOTOMY & REMOVAL, COMPLEX",7A,Existing,brain intracranial extracerebral tumor craniotomy removal complex,-2.5912435,12.754526
236,SF808M,"MOUTH, CLEFT LIP, UNILATERAL PRIMARY REPAIR",4C,Existing,mouth cleft lip unilateral primary repair,0.15814911,8.510397
80,SG808K,"KIDNEY, PELVI-URETERIC JUNCTION OBSTRUCTION, OPEN PYELOPLASTY/URETEROCALYCOSTOMY",5C,Existing,kidney pelviureteric junction obstruction open pyeloplastyureterocalycostomy,-1.9085776,9.199367
230,SF802M,"MOUTH, ANGULAR CLEFT WITH MACROSTOMIA (BILATERAL) REPAIR",6A,Existing,mouth angular cleft macrostomia bilateral repair,0.17683421,8.508635
96,SG709U,"URETER, URETEROSCOPY",2C,Existing,ureter ureteroscopy,-4.546096,9.281242
12,SJ801T,"THYROID, TUMOR, EXCISION",3B,Existing,thyroid tumor excision,-1.1200051,10.27615
128,SB809F,"FEMUR, DELAYED/NON UNION, WITH BONE GRATING",4A,Existing,femur delayednon union bone grating,1.9819804,10.576892
243,SB709J,"JOINTS (TEMPOROMANDIBULAR), VARIOUS LESIONS, ARTHROCENTESIS (UNILATERAL)",2B,Existing,joint temporomandibular various lesion arthrocentesis unilateral,0.58534175,3.9822135
18,SM804E,"EAR, CAULIFLOWER EAR, CORRECTION",3A,Existing,ear cauliflower ear correction,-0.8969604,11.669176
145,SF806E,"ESOPHAGUS, TUMOR, CERVICAL/LARYNGOPHARYNGECTOMY WITH TRACHEOSTOMY WITH/WITHOUT PLASTIC RECONSTRUCTION",7C,Existing,esophagus tumor cervicallaryngopharyngectomy tracheostomy withwithout plastic reconstruction,-0.21605898,8.052727
6,SD705A,"ARTERIOVENOUS FISTULA GRAFT, THROMBECTOMY",3A,Existing,arteriovenous fistula graft thrombectomy,1.5521735,6.399532
45,SL714E,"EYE, NEEDLING OF BLEBS WITH ANTI-METABOLITES",1A,Existing,eye needling bleb antimetabolite,7.0123453,8.24273
187,SF705L,"LIVER, PORTAL HYPERTENSION, TRANSJULAR INTRAHEPATIC PORTO-SYSTEMIC SHUNT CREATION (TIPSS)",5A,Existing,liver portal hypertension transjular intrahepatic portosystemic shunt creation tip,0.3337456,10.007346
87,SA723S,"SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), WIDE EXCISION BIOPSY",5A,Existing,soft tissue upper limb tumor malignant wide excision biopsy,2.9088454,11.230137
94,SM711N,"NOSE, RHINOPHYMA, TOTAL CONSTRUCTION",6B,Existing,nose rhinophyma total construction,-1.3247156,12.373343
22,SC801L,"LUNG, VARIOUS LESIONS, REPEAT/MULTIPLE/COMPLEX RESECTIONS",5A,Existing,lung various lesion repeatmultiplecomplex resection,1.4407282,8.535403
245,SF817M,"MOUTH, MUCOUS CYST/RANULA OF FLOOR OF MOUTH, MARSUPIALIZATION /BIOPSY",1B,Existing,mouth mucous cystranula floor mouth marsupialization biopsy,0.26953813,10.449628
55,SA802M,"MUCOUS MEMBRANE, SUPERFICIAL LACERATION EQUAL/LESS THAN 7CM, REPAIR",1B,Existing,mucous membrane superficial laceration equalless 7cm repair,0.09140952,11.889931
175,SK762S,"SPINE, LUMBAR/SACRAL/CAUDAL, INJECTION, INTRATHECAL WITHOUT OTHER PROCEDURES",2A,Existing,spine lumbarsacralcaudal injection intrathecal without procedure,-2.3026607,5.8149414
54,SG712K,"KIDNEY, RENAL ABSCESS/PERINEPHRIC ABSCESS, IMAGING GUIDED PERCUTANEOUS DRAINAGE",2C,Existing,kidney renal abscessperinephric abscess imaging guided percutaneous drainage,-1.3151667,9.7564535
9,SJ703T,"THYROID, VARIOUS LESIONS, TOTAL/SUBTOTAL THYROIDECTOMY WITH NECK DISSECTION (BILATERAL)",6C,Existing,thyroid various lesion totalsubtotal thyroidectomy neck dissection bilateral,-1.1306676,10.361655
114,SA818S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), FREE FULL THICKNESS GRAFT",3B,Existing,skin subcutaneous tissue defect multiple digit free full thickness graft,2.019806,12.54986
114,SM703P,"PHARYNX, TUMOR, PARTIAL PHARYNGECTOMY AND RADICAL NECK DISSECTION WITH FLAP",7B,Existing,pharynx tumor partial pharyngectomy radical neck dissection flap,-0.41684553,12.95527
161,SD703V,"VEIN, VARICOSITY, SUB-FASCIAL LIGATION OF SINGLE DEEP PERFORATOR (ENDOSCOPIC)",2B,Existing,vein varicosity subfascial ligation single deep perforator endoscopic,0.72578543,8.080714
35,SI805F,"FALLOPIAN TUBE, REMOVAL OF ECTOPIC GESTATION",3B,Existing,fallopian tube removal ectopic gestation,0.74357563,15.202582
139,SI707V,"VAGINA, MID-URETHRAL TAPE/SLING (± CYSTOSCOPY) + ANTERIOR REPAIR + POSTERIOR REPAIR",5A,"Uptable, Descriptor change",vagina midurethral tapesling cystoscopy anterior repair posterior repair,-3.3972316,10.478656
183,SD726V,"VEIN, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLIZATION OF 1 TO 2 VESSELS",4A,Existing,vein various lesion percutaneous transcatheter embolization 1 2 vessel,0.14369537,9.405462
390,SB848M,"MUSCLE (UPPER LIMB), DEEP ABSCESS, INCISION AND DRAINAGE",2A,Existing,muscle upper limb deep abscess incision drainage,3.4832137,9.663571
108,SK744N,"NERVE-DIGITAL, INJURY, MICROSURGICAL REPAIR (MULTIPLE)",4B,Existing,nervedigital injury microsurgical repair multiple,4.538634,8.157628
18,SA804B,"BREAST, DROOPING, MASTOPEXY/REDUCTION (BILATERAL)",5B,Existing,breast drooping mastopexyreduction bilateral,0.8200034,13.374688
10,SK709A,"ARTERY, INTRACRANIAL, TUMOUR, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing,artery intracranial tumour percutaneous transcatheter embolization,0.15378022,9.362005
1,SK700A,"ARTERY, CAROTICO-CAVERNOUS FISTULA, EMBOLISATION",6B,Existing,artery caroticocavernous fistula embolisation,0.17828175,9.495814
86,SB709E,"ELBOW, VARIOUS LESIONS, REVISION TOTAL JOINT ARTHROPLASTY",6C,Descriptor change,elbow various lesion revision total joint arthroplasty,3.7768495,7.010504
229,SB840H,"HUMERUS, DELAYED/NON-UNION, RECONSTRUCTION WITH INTERNAL FIXATION AND BONE GRAFTING",5B,Existing,humerus delayednonunion reconstruction internal fixation bone grafting,2.4484797,10.421791
122,SF805C,"COLON, VARIOUS LESIONS, TOTAL PROCTO-COLECTOMY AND ILEOSTOMY",6B,Existing,colon various lesion total proctocolectomy ileostomy,-0.6431186,6.881807
470,SB810S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (TWO SEGMENTS) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",6C,"Uptable, Descriptor change,",spine excluding cervical spine various lesion interbody fusion two segment without anteriorposterior instrumentation,-2.7393098,5.1187725
32,SA818B,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS MUSCULOCUTANEOUS FLAP (BILATERAL)",7A,Existing,breast post mastectomy reconstruction using pedicled transverse rectus abdominis musculocutaneous flap bilateral,0.90872735,13.58533
523,SB837T,"TENDON (LOWER LIMB), CONTRACTURE TENOTOMY, WITH/WITHOUT CAST APPLICATION",3A,New,tendon lower limb contracture tenotomy withwithout cast application,3.4883027,9.726635
125,SD805H,"HEART, CONGENITAL HEART DISEASE (COMPLEX), OPEN HEART SURGERY",7A,Existing,heart congenital heart disease complex open heart surgery,0.43404192,6.569188
127,SG829U,"URETHRA, VARIOUS LESIONS, TRANSPUBIC URETHROPLASTY",5A,Existing,urethra various lesion transpubic urethroplasty,-4.347582,10.412752
15,SB700B,"BONE (LOWER LIMB), TUMOR (BENIGN), >3 CM WITH BONE GRAFTING +/- RECONSTRUCTION/INTERNAL FIXATION",5A,Existing,bone lower limb tumor benign 3 cm bone grafting reconstructioninternal fixation,3.1278057,10.863343
20,SH808P,"PENIS, PARAPHIMOSIS/PHIMOSIS/REDUCTION PREPUCE, CIRCUMCISION",1B,Existing,penis paraphimosisphimosisreduction prepuce circumcision,-2.9578292,8.841521
87,SF714B,"BOWEL (ESOPHAGUS, STOMACH, DUODENUM, COLON, RECTUM), STRICTURE, IMAGING GUIDED BALLOON DILATATION",2C,Existing,bowel esophagus stomach duodenum colon rectum stricture imaging guided balloon dilatation,0.3079232,7.8689876
127,SB808F,"FASCIA PALMAR, DUPUYTREN'S CONTRACTURE, FASCIECTOMY (SINGLE)",4A,Existing,fascia palmar dupuytrens contracture fasciectomy single,2.978178,10.102111
361,SB819M,"MANDIBLE, VARIOUS LESIONS, MANDIBULAR RAMUS/BODY OSTECTOMY/OSTEOTOMY WITHOUT SEGMENTAL OSTEOTOMY",5C,Existing,mandible various lesion mandibular ramusbody ostectomyosteotomy without segmental osteotomy,2.141129,9.418995
9,SF710A,"ABDOMEN, MAJOR/MULTIPLE ORGAN REPAIR (TRAUMA)",6B,Existing,abdomen majormultiple organ repair trauma,1.1718918,9.262858
59,SH802T,"TESTIS, UNDESCENDED/ECTOPIC (UNILATERAL), ORCHIDOPEXY/TRANSPLANTATION WITH HERNIA REPAIR",3B,Existing,testis undescendedectopic unilateral orchidopexytransplantation hernia repair,-3.7079854,4.076111
142,SB824F,"FINGER, TRAUMA, TERMINALISATION (SINGLE)",2C,Existing,finger trauma terminalisation single,1.4120706,10.489826
148,SA853S,"SKIN AND SUBCUTANEOUS TISSUE, DEBRIDEMENT CONFINED TO SKIN, SUBCUTANEOUS FAT OR FASCIA ONLY (INCLUDES SUTURING OF WOUND WHEN PERFORMED).",1C,"Uptable, Descriptor change",skin subcutaneous tissue debridement confined skin subcutaneous fat fascia includes suturing wound performed,0.4316914,11.964503
68,SH800V,"VAS DEFERENS, VARIOUS LESIONS, EXPLORATION (MICROSURGICAL) AND TESTICULAR BIOPSY",5C,Existing,va deferens various lesion exploration microsurgical testicular biopsy,9.792109,8.674939
30,SF807A,"ABDOMINAL CAVITY, SUBPHRENIC ABSCESS, DRAINAGE",3B,Existing,abdominal cavity subphrenic abscess drainage,-3.036524,6.8518314
66,SK702L,"LUMBAR PLEXUS, BLOCK, NO CATHETER",1B,Existing,lumbar plexus block catheter,2.8371336,16.031755
140,SD821H,"HEART, PROXIMAL AORTIC ANEURYSM, AORTIC ROOT REPLACEMENT WITH CORONARY ARTERY REIMPLANTATION",7C,Existing,heart proximal aortic aneurysm aortic root replacement coronary artery reimplantation,1.6939515,7.4268804
40,SE800M,"MARROW, FOR VARIOUS LESIONS, HARVESTING & GRAFTING",5A,Existing,marrow various lesion harvesting grafting,-0.20785263,10.732136
156,SA861S,"SKIN, BURNS (MORE THAN 10%), EXCISION",3B,Existing,skin burn 10 excision,1.3728644,12.618195
33,SG812B,"BLADDER, VARIOUS LESIONS, ENLARGEMENT CYSTOPLASTY WITH BOWEL",6B,Existing,bladder various lesion enlargement cystoplasty bowel,-1.3783361,8.243993
157,SL701R,"RETINA, PNEUMATIC RETINOPEXY",4A,Existing,retina pneumatic retinopexy,-2.0425627,11.696375
176,SD718V,"VEIN, VARIOUS LESIONS, ENDOVASCULAR STENT GRAFT/STENT PLACEMENT",3B,Existing,vein various lesion endovascular stent graftstent placement,1.2981622,7.846788
37,SM823E,"EAR, UNILATERAL PRE AURICULAR SINUS EXCISION",2B,Existing,ear unilateral pre auricular sinus excision,-0.7943527,11.522825
76,SK708N,"NERVE (OROFACIAL), DEFECT, GRAFT (SINGLE)/NERVE SHARE, USING MICROSURGICAL TECHNIQUES (INCLUDE HARVESTING)",5A,Existing,nerve orofacial defect graft singlenerve share using microsurgical technique include harvesting,4.54189,7.900225
2,SI701C,"CERVIX, CERVICAL INCOMPETENCE, REMOVAL OF CERCLAGE",1C,Descriptor change,cervix cervical incompetence removal cerclage,-2.978602,9.927302
54,SL723E,"EYELIDS, CHALAZION OR STYE EXCISION UNDER GENERAL ANAESTHESIA",1A,Existing,eyelid chalazion stye excision general anaesthesia,-1.7452608,10.542816
12,SM711E,"EAR, IMPLANTATION OF BONE-ANCHORED HEARING AID",4B,Existing,ear implantation boneanchored hearing aid,-0.8414632,11.517744
92,SL841E,"EYELIDS, TRICHIASIS, CRYOTHERAPY",1B,Existing,eyelid trichiasis cryotherapy,-1.2906089,11.218297
5,SM703E,"EAR, AURAL TOILET BY MICROSCOPY (COMPLEX) EG. IMPACTED EAR WAX/FOREIGN BODY/DISCHARGE",MSP,Existing,ear aural toilet microscopy complex eg impacted ear waxforeign bodydischarge,-0.8721061,11.603612
145,SL802O,"ORBIT, VARIOUS LESIONS/TUMOURS, EXENTERATION/REMOVAL VIA CRANIOTOMY",5C,Existing,orbit various lesionstumours exenterationremoval via craniotomy,-2.4703822,12.860286
346,SF807T,"TONGUE, TUMOR, HEMI-GLOSSECTOMY",4A,Existing,tongue tumor hemiglossectomy,-0.5943823,13.223822
19,SH807P,"PENIS, HYPOSPADIAS, URETHRAL RECONSTRUCTION & CORRECTION OF CHORDEE",5C,Existing,penis hypospadias urethral reconstruction correction chordee,-2.906526,8.8058815
126,SI840U,"UTERUS, RUPTURED, REPAIR (COMPLICATED)",4A,Existing,uterus ruptured repair complicated,-4.092034,11.92141
85,SL832E,"EYELIDS, PTOSIS, CORRECTION FASANELLA (UNILATERAL)",3B,Existing,eyelid ptosis correction fasanella unilateral,-2.2697182,12.029796
112,SD730H,"HEART, TRANS-MYOCARDIAL REVASCULARISATION (TMR) AS AN ADJUNCT PROCEDURE",2C,Existing,heart transmyocardial revascularisation tmr adjunct procedure,0.4473751,6.6065974
87,SL834E,"EYELIDS, PTOSIS, CORRECTION LEVATOR PALPEBRAE SUPERIORIS RESECTION (UNILATERAL)",4B,Existing,eyelid ptosis correction levator palpebrae superioris resection unilateral,-2.2635787,12.012579
147,SB829F,"FINGER, VARIOUS LESIONS, SYNOVECTOMY WITH SOFT TISSUE RECONSTRUCTION",5C,Existing,finger various lesion synovectomy soft tissue reconstruction,3.0722136,8.306909
59,SK759E,EXAMINATION UNDER ANAESTHESIA (GENERAL OR REGIONAL) WITHOUT OTHER SURGICAL PROCEDURES14,1A,Existing,examination anaesthesia general regional without surgical procedures14,-1.6565971,10.541806
126,SM708S,"SINUSES, NASAL, INFECTION, FUNCTIONAL SINUSCOPIC DRAINAGE OF ETHMOIDAL/ MAXILLARY SINUSES",3B,Existing,sinus nasal infection functional sinuscopic drainage ethmoidal maxillary sinus,4.4640822,12.241905
186,SB729H,"HUMERUS, HUMERUS SHAFT FRACTURE, CLOSED INTERLOCKING INTRAMEDULLARY NAIL",4A,Existing,humerus humerus shaft fracture closed interlocking intramedullary nail,2.341237,10.224695
65,SI701U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC (WITHOUT ANAESTHESIA)",1A,Existing,uteruscervix hysteroscopy diagnostic without anaesthesia,-1.7032729,9.897244
48,SK812B,"BRAIN, INTRACRANIAL ABSCESS, DRAINAGE VIA BURR- HOLE",4A,Existing,brain intracranial abscess drainage via burr hole,-2.642417,12.77678
44,SB815B,"BONE (SKULL), TUMOR (MALIGNANT), WIDE EXCISION",5C,Existing,bone skull tumor malignant wide excision,0.108001724,11.242913
267,SF712P,"PANCREAS, VARIOUS LESIONS, SPLEEN-PRESERVING DISTAL PANCREATECTOMY",5C,Descriptor change,pancreas various lesion spleenpreserving distal pancreatectomy,-0.037386585,8.970119
110,SD728H,"HEART, TRANS-CATHETAR PERCUTANEOUS PATENT DUCTUS ARTERIOSUS (PDA) OCCLUSION",5A,Existing,heart transcathetar percutaneous patent ductus arteriosus pda occlusion,0.53789514,6.6137533
182,SK803S,"SKULL, CRANIOSTENOSIS (SINGLE SUTURE), OPERATION",6A,Existing,skull craniostenosis single suture operation,-1.6473638,10.995439
113,SB722F,"FOOT, FRACTURES, SIMPLE, SINGLE",3A,Existing,foot fracture simple single,1.6630954,11.310721
93,SM710N,"NOSE, RHINOPHYMA, EXCISION",3B,Existing,nose rhinophyma excision,-1.349,12.342838
270,SF800P,"PALATE, CLEFT (COMPLETE), PRIMARY REPAIR",5C,Existing,palate cleft complete primary repair,0.21845905,8.565389
142,SD823H,"HEART, PULMONARY VALVE LESIONS, BALLOON VALVULOPLASTY",4A,Existing,heart pulmonary valve lesion balloon valvuloplasty,0.89167315,7.344451
461,SB760S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (THREE OR MORE SEGMENTS) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7C,New,spine excluding cervical spine various lesion interbody fusion three segment anteriorposterior instrumentation,-2.7144957,5.14391
1,SL800A,"ANTERIOR CHAMBER PARACENTESIS, IRRIGATION OR REFORMATION",1B,Existing,anterior chamber paracentesis irrigation reformation,-1.4191034,10.488118
171,SB714H,"HAND, OPEN FRACTURE, DEBRIDEMENT AND ORIF (MULTIPLE), JOINT",6A,Existing,hand open fracture debridement orif multiple joint,2.1045346,10.854541
367,SB825M,"MAXILLA, ALVEOLAR CLEFT (BILATERAL COMPLETE), BONE GRAFT AND CLOSURE OF NASO BUCCAL FISTULA",6B,Existing,maxilla alveolar cleft bilateral complete bone graft closure naso buccal fistula,1.5878747,9.466027
105,SI818U,"UTERUS, GENETIC ABNORMALITY/FETAL MATURITY, WITH/WITHOUT ULTRASOUND GUIDED AMNIOCENTESIS",1C,Existing,uterus genetic abnormalityfetal maturity withwithout ultrasound guided amniocentesis,-2.7861354,11.107393
69,SC818T,"TRACHEA, VARIOUS LESIONS, TRACHEA RECONSTRUCTION WITH CARDIOPULMONARY BYPASS",7A,New,trachea various lesion trachea reconstruction cardiopulmonary bypass,5.3604426,9.731416
156,SD840H,"HEART, CORONARY GRAFT ANGIOGRAPHY WITH/WITHOUT ANGIOGRAPHY OF NATIVE CORONARY ARTERIES",3B,Existing,heart coronary graft angiography withwithout angiography native coronary artery,0.7167935,7.095318
125,SI839U,"UTERUS, RETROVERSION, VENTROSUSPENSION",3A,Existing,uterus retroversion ventrosuspension,-4.1931753,12.057909
222,SF711M,"MOUTH, SALIVARY GLAND, VARIOUS LESIONS, DILATATION OF DUCT",MSP,Existing,mouth salivary gland various lesion dilatation duct,-0.004180132,10.538688
58,SC807T,"THORAX, VARIOUS LESIONS, INTERCOSTAL DRAIN (INSERTION WITHOUT RESECTION OF RIB)",1C,Existing,thorax various lesion intercostal drain insertion without resection rib,1.4212118,9.547018
23,SC802L,"LUNG, VARIOUS LESIONS, WEDGE RESECTION",3C,Existing,lung various lesion wedge resection,1.3643326,8.561188
20,SE804L,"LYMPH NODE (CERVICAL), VARIOUS LESIONS, RADICAL NECK DISSECTION",5C,Existing,lymph node cervical various lesion radical neck dissection,2.6018016,14.432543
43,SH832P,"PROSTATE GLAND, PROSTATE, BENIGN HYPERPLASIA, MINIMALLY INVASIVE ABLATION",3B,Existing,prostate gland prostate benign hyperplasia minimally invasive ablation,1.8605152,14.681837
187,SD801V,"VEIN (LARGE), VARIOUS LESIONS, LIGATION",3A,Existing,vein large various lesion ligation,0.7005289,8.012643
