S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y,Cluster
408,SB801P,"PATELLA, RECURRENT DISLOCATION/CHONDROMALACIA, RECONSTRUCTION",4B,Existing,patella recurrent dislocationchondromalacia reconstruction,35.618706,49.76639,0
216,SB827H,"HIP, AVASCULAR NECROSIS, CORE DECOMPRESSION WITH GRAFTING/BONE SUBSTITUTE/BONE CEMENT",6B,Existing,hip avascular necrosis core decompression graftingbone substitutebone cement,-27.354925,-6.5790453,0
74,SB701D,"DIGIT(S), SOFT TISSUE DEFECT, COMPLEX SMALL SKIN FLAPS, MULTIPLE FLAPS",5A,Existing,digit soft tissue defect complex small skin flap multiple flap,-34.10811,28.097588,0
178,SF802I,"INTESTINE, INTUSSUSCEPTION, REDUCTION BY FLUID",2A,Existing,intestine intussusception reduction fluid,15.837145,20.191143,0
25,SC702P,"LUNG, PULMONARY ENDARTERECTOMY WITH CARDIOPULMONARY BYPASS",7C,Existing,lung pulmonary endarterectomy cardiopulmonary bypass,-45.752895,44.99136,0
119,SL800L,"LACRIMAL CANALICULUS REPAIR, VARIOUS LESIONS, IMMEDIATE REPAIR",3B,Existing,lacrimal canaliculus repair various lesion immediate repair,70.82652,-12.240921,0
51,SB823B,"BONE (UPPER LIMB), OSTEOMYELITIS, EXTENSIVE CURETTAGE/DEBRIDEMENT AND IRRIGATION",4A,Existing,bone upper limb osteomyelitis extensive curettagedebridement irrigation,6.0804114,-17.621128,0
214,SB825H,"HEAD-FACE, VARIOUS LESIONS, MAJOR CORRECTIVE SURGERY",7C,Existing,headface various lesion major corrective surgery,-13.630466,57.546368,0
40,SL709E,"EYE, THERMAL PHOTOCOAGULATION OF CHOROIDAL NEOVASCULARIZATION AND ALLIED CONDITIONS",3B,Existing,eye thermal photocoagulation choroidal neovascularization allied condition,-20.232252,-26.441292,0
152,SI801V,"VAGINA, ATRESIA/STENOSIS, DILATATION",1B,Existing,vagina atresiastenosis dilatation,18.533133,28.092413,0
21,SG730B,"BLADDER, STANDARD URODYNAMICS STUDY, COMPLEX (WITH VIDEO)",2A,Existing,bladder standard urodynamics study complex video,11.207535,12.28628,0
111,SB720F,"FOOT, CONGENITAL TALIPES EQUINOVARUS (CTEV), POSTERIOR MEDIAL RELEASE WITH REVISION",5C,Existing,foot congenital talipes equinovarus ctev posterior medial release revision,-71.0076,-1.6954312,0
17,SI808C,"CERVIX, STENOSIS, DILATATION",1B,Existing,cervix stenosis dilatation,20.25324,25.215452,0
67,SD825A,"ARTERY, VARIOUS LESIONS, INVASIVE BLOOD PRESSURE MEASUREMENT",MSP,Existing,artery various lesion invasive blood pressure measurement,-10.075498,-33.496918,0
78,SG806K,"KIDNEY, INJURY, REPAIR",5C,Existing,kidney injury repair,-28.816242,20.673702,0
226,SB837H,"HIP, VARIOUS LESIONS, EXCISION/INTERPOSITION ARTHROPLASTY",5A,Existing,hip various lesion excisioninterposition arthroplasty,-35.52077,-28.226196,0
78,SM801M,"MASTOID, VARIOUS LESIONS, MASTOIDECTOMY (RADICAL/MODIFIED RADICAL) OSSICULAR CHAIN RECONSTRUCTION WITH/WITHOUT MYRINGOPLASTY",5C,Descriptor change,mastoid various lesion mastoidectomy radicalmodified radical ossicular chain reconstruction withwithout myringoplasty,-5.297453,45.802837,0
155,SF702G,"GALLBLADDER, TUMOUR, RADICAL CHOLECYSTECTOMY WITH SEGMENT 4B AND 5 LIVER RESECTION AND RADICAL LYMPHADENECTOMY AND CHOLEDOCHECTOMY WITH HEPATICO-ENTERIC ANASTOMOSIS",7A,Existing,gallbladder tumour radical cholecystectomy segment 4b 5 liver resection radical lymphadenectomy choledochectomy hepaticoenteric anastomosis,-12.879088,-46.36749,0
98,SL848E,"EYELIDS, VARIOUS LESIONS, UPPER BLEPHAROPLASTY, UNILATERAL",3A,Existing,eyelid various lesion upper blepharoplasty unilateral,-1.5663416,-8.497238,0
522,SB836T,"TENDON (LOWER LIMB), VARIOUS LESIONS, TENDON TRANSFER (SINGLE",4A,New,tendon lower limb various lesion tendon transfer single,-48.121933,18.332981,0
12,SK711A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY",6A,Existing,artery intracranial various lesion percutaneous transluminal angioplasty,28.526718,-49.041096,0
35,SL704E,"EYE, GLAUCOMA, SELECTIVE LASER TRABECULOPLASTY (BILATERAL)",2C,Existing,eye glaucoma selective laser trabeculoplasty bilateral,58.146656,33.02707,0
149,SB831F,"FOOT, CRUSH INJURIES (SIMPLE), WOUND DEBRIDEMENT",1B,Existing,foot crush injury simple wound debridement,7.35844,-71.803,0
337,SF708T,"TOOTH (SINGLE-ROOTED), VARIOUS LESIONS, PERI- RADICULAR SURGERY",2C,Existing,tooth singlerooted various lesion peri radicular surgery,22.827932,1.0925151,0
176,SK763S,"SPINE, CERVICAL, EPIDURAL ADHESIOLYSIS, MULTIPLE CATHETER",4C,Existing,spine cervical epidural adhesiolysis multiple catheter,17.951399,-70.56655,0
167,SF700I,"OESOPHAGUS/STOMACH, UPPER GI ENDOSCOPY WITH POLYPECTOMY/ REMOVAL OF FOREIGN BODY/DIATHERMY OF BLEEDING LESIONS / INJECTION OF VARICES /  REMOVAL OF SINGLE POLYP",2C,Descriptor change,oesophagusstomach upper gi endoscopy polypectomy removal foreign bodydiathermy bleeding lesion injection varix removal single polyp,-36.62512,-34.206074,0
327,SB814L,"LOWER LIMB, ISCHEMIA, FASCIOTOMY",3A,Existing,lower limb ischemia fasciotomy,-30.514408,5.7973313,0
124,SK809N,"NERVE-SYMPATHETIC, VARIOUS LESIONS, SYMPATHECTOMY, WITH/WITHOUT VIDEO-ASSISTANCE, BILATERAL",5A,Existing,nervesympathetic various lesion sympathectomy withwithout videoassistance bilateral,2.0779955,-6.1229453,0
164,SB707H,"HAND, COMPLEX INJURIES, MICROSURGICAL REPAIR/RECONSTRUCTION, >1 DIGIT",6B,Existing,hand complex injury microsurgical repairreconstruction 1 digit,-35.4784,22.58289,0
183,SA888S,"SOFT TISSUE, TUMOR (MALIGNANT), WIDE EXCISION BIOPSY <7CM OTHER THAN UPPER/LOWER LIMBS",3C,Existing,soft tissue tumor malignant wide excision biopsy 7cm upperlower limb,-47.449333,-32.574722,0
134,SK706S,"SACRAL ROOT BLOCK, NEUROLYTIC, RADIOFREQUENCY, IMAGING GUIDED, UP TO 2",2C,Existing,sacral root block neurolytic radiofrequency imaging guided 2,42.998863,31.678534,0
171,SA876S,"SKIN, BURNS SCAR/TATTOO, REPEAT LASER EXCISION",1A,Descriptor change,skin burn scartattoo repeat laser excision,-3.6783903,15.185051,0
108,SF705C,"COLON, COLONOSCOPY, FIBREOPTIC WITH REMOVAL OF POLYPS (MULTIPLE MORE THAN 1CM)",3B,Existing,colon colonoscopy fibreoptic removal polyp multiple 1cm,34.576046,-36.543076,0
203,SD817V,"VENA CAVA INFERIOR, VARIOUS LESIONS, PLICATION/LIGATION",4C,Existing,vena cava inferior various lesion plicationligation,23.335949,-11.354478,0
308,SF706S,"STOMACH, VARIOUS LESIONS, TOTAL/PROXIMAL GASTRECTOMY WITH/WITHOUT SPLENECTOMY",6B,Existing,stomach various lesion totalproximal gastrectomy withwithout splenectomy,-17.272587,-42.712444,0
57,SC806T,"THORAX, VARIOUS LESIONS, CHEST WALL RESECTION AND MINOR RECONSTRUCTION",4A,Existing,thorax various lesion chest wall resection minor reconstruction,-4.6841397,19.382816,0
188,SA893S,"SUBCUTANEOUS TISSUE (THIGH), OBESITY, LIPOSUCTION",3C,Existing,subcutaneous tissue thigh obesity liposuction,36.05444,6.604189,0
420,SB708S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, BANKART REPAIR WITH SUPERIOR LABRUM FROM ANTERIOR TO POSTERIOR (SLAP) REPAIR/ROTATOR CUFF REPAIR",5B,Descriptor change,shoulder shoulder soft tissue injury bankart repair superior labrum anterior posterior slap repairrotator cuff repair,-9.731122,-26.550938,0
152,SA857S,"SKIN, BURNS (2% TO 5%), EXCISION",2B,Existing,skin burn 2 5 excision,-2.9145906,15.176495,0
159,SA864S,"SKIN, KERATOSES/WARTS/TAGS/SIMILAR LESIONS, EXCISION (MORE THAN10 LESIONS)",2C,Existing,skin keratoseswartstagssimilar lesion excision than10 lesion,-6.4832535,3.3276017,0
96,SK730N,"NERVE ROOTS, DORSAL ROOT GANGLION, ANAESTHETIC, ONE TO TWO",2B,Existing,nerve root dorsal root ganglion anaesthetic one two,21.486324,-28.317514,0
73,SB700D,"DIGIT(S), NAILBED LACERATION, NAILBED GRAFTING",4A,Existing,digit nailbed laceration nailbed grafting,-34.150043,25.78361,0
415,SB701S,"SHOULDER FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (2 PART FRACTURE)",4A,Existing,shoulder fracturedislocation open reduction internal fixation 2 part fracture,29.227247,39.290993,0
290,SB705K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS LIGAMENT RECONSTRUCTION WITH MICROFRACTURE",5C,Existing,knee ligamentsmeniscuscartilagebone combined mi ligament reconstruction microfracture,68.91078,-25.22833,0
147,SL804O,"ORBIT, VARIOUS LESIONS, DECOMPRESSION (BILATERAL)",5A,Existing,orbit various lesion decompression bilateral,-20.4829,3.5520182,0
90,SI727U,"UTERUS, FIBROID/ADENOMYOSIS, HIGHLY INTENSIVE FOCUSED ULTRASOUND",3C,New,uterus fibroidadenomyosis highly intensive focused ultrasound,5.665293,20.451939,0
175,SI824V,"VULVA, CHRONIC DYSTROPHY, BIOPSY",MSP,Existing,vulva chronic dystrophy biopsy,-1.0699155,26.711235,0
172,SB715H,"HAND, OPEN FRACTURE, DEBRIDEMENT AND ORIF (MULTIPLE), NON-JOINT",5B,Existing,hand open fracture debridement orif multiple nonjoint,-23.433844,13.285948,0
23,SB708B,"BONE, TUMOUR (MALIGNANT), WIDE/MAJOR RESECTION AND RECONSTRUCTION (VASCULARISED BONE GRAFT)",7B,Existing,bone tumour malignant widemajor resection reconstruction vascularised bone graft,-12.815067,37.174522,0
394,SB852M,"MUSCULOSKELETAL SYSTEM, VARIOUS LESIONS, FREE COMPOSITE TISSUE GRAFT",7B,Existing,musculoskeletal system various lesion free composite tissue graft,-20.174154,10.119471,0
277,SB824J,"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, PLICATION OF DISC",4A,Existing,joint temporomandibular various lesion plication disc,38.730198,-58.175488,0
175,SD717V,"VEIN, BLEEDING VARICOSITIES/VASCULAR MALFORMATION, IMAGE GUIDED SCLEROTHERAPY INJECTION",3B,Existing,vein bleeding varicositiesvascular malformation image guided sclerotherapy injection,-12.572557,-6.898304,0
129,SL811L,"LENS, CATARACT, EXTRACTION WITH TRABECULECTOMY",4A,Existing,lens cataract extraction trabeculectomy,40.82812,-46.02488,0
298,SB713K,"KNEE, MENISCUS/CARTILAGE, MIS ASSISTED ALLOGRAFT MENISCAL TRANSPLANTATION",5C,Existing,knee meniscuscartilage mi assisted allograft meniscal transplantation,12.146206,-13.264082,0
13,SD712A,"ARTERY, SMALL, INJURY, REPAIR (SINGLE)",4A,Existing,artery small injury repair single,-25.73846,19.617163,0
488,SB802T,"TENDON (UPPER LIMB), CONTRACTURE, TENOTOMY",2C,Existing,tendon upper limb contracture tenotomy,-40.911232,12.69641,0
29,SG808B,"BLADDER, RETENTION OF URINE, SUPRAPUBIC CYSTOSTOMY",1B,Existing,bladder retention urine suprapubic cystostomy,-11.732288,11.659349,0
137,SA841S,"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA /CARBUNCLE CELLULITIS/SIMILAR LESION>3CM, SAUCERISATION/INCISION WITH DRAINAGE",1B,Existing,skin subcutaneous tissue hematoma carbuncle cellulitissimilar lesion3cm saucerisationincision drainage,0.5315324,-53.582184,0
319,SB806L,"LOWER LIMB, LENGTH DISCREPANCIES, SHORTENING PROCEDURES",4B,Downtable,lower limb length discrepancy shortening procedure,-30.729347,5.164944,0
429,SB722S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITHOUT INSERTION OF INTERSPINOUS DEVICE (2 OR MORE SEGMENTS) WITHOUT INSTRUMENTED FUSION",6B,Existing,spine excluding cervical spine various lesion posterior decompression andor discectomy without insertion interspinous device 2 segment without instrumented fusion,61.446846,-14.29566,0
135,SB817F,"FINGER, RING CONSTRICTION (MULTIPLE), CORRECTION",5C,Existing,finger ring constriction multiple correction,-41.375004,1.4461322,0
26,SC700T,"THORAX, CATHETER BLOCKAGE, IMAGING GUIDED CATHETER CHANGE/CATHETER ADJUSTMENT/CHECK TUBE",1A,Existing,thorax catheter blockage imaging guided catheter changecatheter adjustmentcheck tube,35.18756,-70.730965,0
16,SM802E,"EAR (MIDDLE), VARIOUS LESIONS, EXPLORATION AND TYMPANOTOMY",3A,Existing,ear middle various lesion exploration tympanotomy,-21.578423,-16.405336,0
30,SH818P,"PENIS, TRAUMA, REPAIR OF LACERATION/FRACTURE INVOLVING CAVERNOUS TISSUE",2C,Existing,penis trauma repair lacerationfracture involving cavernous tissue,-55.095245,8.094716,0
12,SG711B,"BLADDER, CYSTOSCOPY, WITH ENDOSCOPIC REMOVAL/MANIPULATION OF URETERIC CALCULUS",3B,Existing,bladder cystoscopy endoscopic removalmanipulation ureteric calculus,6.4344497,49.124134,0
25,SE809L,"LYMPH NODE (SINGLE), VARIOUS LESIONS, EXCISION BIOPSY",1A,Existing,lymph node single various lesion excision biopsy,-35.901276,-43.902294,0
56,SH702T,"TESTIS, VARIOCOELE, SPERMATIC VEIN EMBOLISATION",4A,Existing,testis variocoele spermatic vein embolisation,16.946728,16.282574,0
18,SH806P,"PENIS, HYPOSPADIAS, URETHRAL RECONSTRUCTION",4A,Existing,penis hypospadias urethral reconstruction,18.318472,47.420254,0
511,SB825T,"THUMB, VARIOUS LESIONS, POLLICISATION OR MICROSURGICAL RECONSTRUCTION",6B,Existing,thumb various lesion pollicisation microsurgical reconstruction,-33.730976,19.34292,0
16,SA802B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION MAMMOPLASTY >500G (BILATERAL)",6A,Existing,breast diffuse hypertrophy reduction mammoplasty 500g bilateral,0.068408005,-15.127734,0
65,SL809E,"EYE, PERFORATING WOUND (WITH INCARCERATION/PROLAPSE OF UVEAL TISSUE/LENS/VITREOUS), REPAIR",3C,Existing,eye perforating wound incarcerationprolapse uveal tissuelensvitreous repair,-58.498253,4.3652434,0
88,SB801E,"ELBOW, FRACTURE/ DISLOCATION, REPAIR OF LIGAMENTS/ ORIF",4B,Existing,elbow fracture dislocation repair ligament orif,-43.496574,-26.39777,0
46,SG703K,"KIDNEY, CYST, IMAGING GUIDED PERCUTANEOUS ASPIRATION",2A,Existing,kidney cyst imaging guided percutaneous aspiration,5.9475,28.665924,0
38,SL707E,"EYE, GLAUCOMA, GONIOSYNECHIOLYSIS",3B,Existing,eye glaucoma goniosynechiolysis,59.073505,32.489655,0
343,SF804T,"TONGUE, TONGUE TIE, RELEASE",1A,Existing,tongue tongue tie release,-18.214144,18.654972,0
136,SL702O,"ORBIT, RECONSTRUCTION, EXTENSIVE FLOOR/MEDIAL WALL FRACTURE",5A,Existing,orbit reconstruction extensive floormedial wall fracture,-14.505843,30.861746,0
160,SL704R,"RETINA/MACULA, GRID AND FOCAL LASER PHOTOCOAGULATION",3A,Existing,retinamacula grid focal laser photocoagulation,-19.421968,-26.108213,0
371,SB829M,"MAXILLA, DEFORMITY - LEFORT III, OSTEOTOMY",7C,Existing,maxilla deformity lefort iii osteotomy,-17.1325,-60.931118,0
455,SB754S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (TWO SEGMENTS) WITH ANTERIOR/POSTERIOR INSTRUMENTATION",7B,Descriptor change,spine excluding cervical spine various lesion interbody fusion two segment anteriorposterior instrumentation,58.880505,-21.813955,0
67,SG726K,"KIDNEY/URETER, RETROGRADE INTRARENAL SURGERY OR RIRS USING FLEXIBLE URETEROSCOPY (DIAGNOSTIC)",2C,Existing,kidneyureter retrograde intrarenal surgery rirs using flexible ureteroscopy diagnostic,54.664772,-1.4071289,0
169,SL700T,TEMPORAL ARTERY BIOPSY,2B,Existing,temporal artery biopsy,0.51149094,0.31321067,0
266,SB812J,"BONE/JOINTS (LOWER LIMB), MAJOR CRUSH INJURIES, WOUND DEBRIDEMENT",3B,Existing,bonejoints lower limb major crush injury wound debridement,6.899821,-71.08747,0
147,SI717V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY + GROIN + PELVIC NODE DISSECTION",6C,Existing,vulva malignant condition radical vulvectomy groin pelvic node dissection,-38.15603,40.241653,0
200,SA800T,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/SMALL BURSA, (<3CM) EXCISION BIOPSY",1C,Existing,tendon sheath subcutaneous tissue ganglionsmall bursa 3cm excision biopsy,2.545161,-81.19197,0
10,SJ704T,"THYROID, BENIGN, SINGLE/MULTIPLE NODULE, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION (ETHANOL, LASER MICROWAVE, RADIOFREQUENCY)13",3B,New,thyroid benign singlemultiple nodule imaging guided percutaneous local ablation ethanol laser microwave radiofrequency13,60.490543,9.518856,0
123,SM705S,"SINUSES, ETHMOIDAL, VARIOUS LESIONS, EXTERNAL OPERATION",5C,Existing,sinus ethmoidal various lesion external operation,-2.0964744,37.043,0
7,SI706C,"CERVIX, TRANSCERVICAL RESECTION (TCR) SEPTUM, HYSTEROSCOPIC",3A,Existing,cervix transcervical resection tcr septum hysteroscopic,17.46032,-18.427809,0
18,SG717B,"BLADDER, CYSTOSCOPY, WITH URETERIC MEATOTOMY/WITH RESECTION OF URETEROCELE",3B,Existing,bladder cystoscopy ureteric meatotomywith resection ureterocele,6.98425,50.372185,0
67,SK703L,"SYMPATHETIC NERVES, BLOCK, ANAESTHETIC (UNILATERAL/BILATERAL)",1B,Existing,sympathetic nerve block anaesthetic unilateralbilateral,-7.2945576,-48.34869,0
69,SI705U,"UTERUS, ELONGATED CERVIX, CYSTOCOELE, RECTOCOELE, AMPUTATION OF CERVIX + ANTERIOR REPAIR + POSTERIOR REPAIR",4B,Existing,uterus elongated cervix cystocoele rectocoele amputation cervix anterior repair posterior repair,50.600826,-15.94835,0
149,SF810E,"ESOPHAGUS, VARICES, ESOPHAGEAL/TRANSECTION WITH SPLENECTOMY",6B,Existing,esophagus varix esophagealtransection splenectomy,-1.4504889,-63.01173,0
164,SD706V,"VEIN, PERIPHERAL VEINS (UPPER/LOWER LIMBS/DIALYSIS ARTERIOVENUS FISTULA/ARTERIOVENUS GRAFT FISTULA), VARIOUS LESIONS, DIAGNOSTIC VENOGRAPHY",2A,Existing,vein peripheral vein upperlower limbsdialysis arteriovenus fistulaarteriovenus graft fistula various lesion diagnostic venography,10.168829,16.254751,0
64,SK700L,"SYMPATHETIC NERVES, BLOCK, CATHETER (UNILATERAL/BILATERAL)",2B,Existing,sympathetic nerve block catheter unilateralbilateral,-7.3028874,-48.33576,0
142,SI712V,"VAGINA/RECTUM, RECTO VAGINAL FISTULA, COMPLEX RECTAL/TRANSPERINEAL APPROACH WITHOUT COLOSTOMY",4C,Existing,vaginarectum recto vaginal fistula complex rectaltransperineal approach without colostomy,-15.403333,-12.869229,0
204,SF809L,"LIVER, TRAUMA/TUMOR, EXTENDED LOBECTOMY (5 SEGMENTS/MORE)",7C,Existing,liver traumatumor extended lobectomy 5 segmentsmore,-3.6965368,32.713383,0
392,SB850M,"MUSCLE (UPPER LIMB), VARIOUS LESIONS, MARGINAL EXCISION",2C,Existing,muscle upper limb various lesion marginal excision,43.00755,-9.524272,0
274,SF804P,"PALATE, CLEFT, UVULOPHARYNGOPLASTY",5C,Existing,palate cleft uvulopharyngoplasty,19.201233,-23.636806,0
74,SK706N,"COELIAC PLEXUS, BLOCK, NEUROLYTIC",2B,Existing,coeliac plexus block neurolytic,47.196484,32.79472,0
40,SF817A,"ABDOMINAL WALL, INGUINAL HERNIA (INFANTS & CHILDREN), HERNIOTOMY (BILATERAL)",4A,Existing,abdominal wall inguinal hernia infant child herniotomy bilateral,46.34247,8.352783,0
99,SK733N,"PERIPHERAL NERVE, BLOCK, ANAESTHETIC (UP TO 2 NERVES)",1A,Existing,peripheral nerve block anaesthetic 2 nerve,46.13327,41.00526,0
165,SF802G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTECTOMY AND CHOLEDOCHO- JEJUNOSTOMY/DUODENOSTOMY/GASTROSTOMY",5C,Existing,gallbladder various lesion cholecystectomy choledocho jejunostomyduodenostomygastrostomy,53.16887,-38.224716,0
181,SI830V,"VULVA, LACERATION, DEBRIDEMENT/SUTURE <5CM (SIMPLE)",MSP,Existing,vulva laceration debridementsuture 5cm simple,18.255108,-7.662805,0
123,SL804L,"LACRIMAL GLAND/DUCT, VARIOUS LESIONS, DACROCYSTORHINOSTOMY (ENDOSCOPIC/NON- ENDOSCOPIC) OR CONJUNCTIVAL-DCR (LESTER JONES TUBE)",5C,Existing,lacrimal glandduct various lesion dacrocystorhinostomy endoscopicnon endoscopic conjunctivaldcr lester jones tube,70.95245,-12.513976,0
68,SL812E,"EYE, SQUINT, OPERATION (ONE/BOTH EYES - ADJUSTABLE SUTURES)",4A,Existing,eye squint operation oneboth eye adjustable suture,51.0598,16.759005,0
88,SK720N,"NERVE (UPPER LIMB), DEFECT, GRAFTING/INTERFASCICULAR REPAIR/NEUROVASCULAR TRANSFER",6B,Existing,nerve upper limb defect graftinginterfascicular repairneurovascular transfer,-48.245693,19.779646,0
61,SC810T,"THORAX, VARIOUS LESIONS, THORACOPLASTY (IN STAGES) - EACH STAGE",4A,Existing,thorax various lesion thoracoplasty stage stage,-51.477024,6.021763,0
192,SD806V,"VEIN, VARICOSITY, HIGH LIGATION AND COMPLETE STRIPPING/EXCISION OF SHORT SAPHENOUS VEIN",3B,Existing,vein varicosity high ligation complete strippingexcision short saphenous vein,53.517193,-8.166615,0
176,SI825V,"VULVA, HEMATOMA, EVACUATION > 5CM (COMPLICATED/MORE THAN 1)",2A,Existing,vulva hematoma evacuation 5cm complicatedmore 1,-1.6317868,-51.69292,0
44,SA832B,"IPSILATERAL MASTOPEXY/REDUCTION FOLLOWING BREAST, TUMOUR (MALIGNANT) WIDE EXCISION/LUMPECTOMY/SEGMENTAL OR PARTIAL MASTECTOMY, WITH OR WITHOUT SENTINEL NODE BIOPSY AND/OR AXILLARY CLEARANCE",4A,Existing,ipsilateral mastopexyreduction following breast tumour malignant wide excisionlumpectomysegmental partial mastectomy without sentinel node biopsy andor axillary clearance,19.407635,-49.797783,0
73,SI710U,"UTERUS, FIBROIDS, UTERINE ARTERY EMBOLIZATION",3C,Existing,uterus fibroid uterine artery embolization,37.733532,-12.901552,0
75,SB702D,"DIGIT(S), SOFT TISSUE DEFECT, LARGE COMPLEX PEDICLED FLAPS",5C,Existing,digit soft tissue defect large complex pedicled flap,-44.095016,-9.89279,0
69,SG728K,"KIDNEY TRANSPLANT, RECIPIENT, DUAL KIDNEY TRANSPLANT (MARGINAL DONOR)",7A,Existing,kidney transplant recipient dual kidney transplant marginal donor,0.78576386,42.521217,0
39,SD738A,"AORTA, THORACIC AORTIC ANEURYSM, THORACIC ENDOVASCULAR ANEURYSM REPAIR (TEVAR)",6C,Existing,aorta thoracic aortic aneurysm thoracic endovascular aneurysm repair tevar,-21.018744,-53.54153,0
102,SA806S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (EXTENSIVE)",2A,Existing,skin subcutaneous tissue burn escharotomy extensive,-11.066329,31.835045,0
285,SF815P,"PAROTID, TUMOR, TOTAL PAROTIDECTOMY WITH PARAPHARYNGEAL SPACE RESECTION AND FLAP RECONSTRUCTION",7B,Existing,parotid tumor total parotidectomy parapharyngeal space resection flap reconstruction,-4.6790857,-71.52397,0
